SUBDIVISION,YEAR,FORECAST_RAINFALL
Sub Himalayan West Bengal & Sikkim,2027,2608.1162
Sub Himalayan West Bengal & Sikkim,2028,2608.1162
Sub Himalayan West Bengal & Sikkim,2029,2640.1506
Sub Himalayan West Bengal & Sikkim,2030,2608.1162
Tamil Nadu,2018,810.0289
Tamil Nadu,2019,1025.4927
Tamil Nadu,2020,1000.3875
Tamil Nadu,2021,993.34235
Tamil Nadu,2022,1151.2808
Tamil Nadu,2023,1121.7637
Tamil Nadu,2024,1197.9598
Tamil Nadu,2025,1152.4794
Tamil Nadu,2026,1101.777
Tamil Nadu,2027,1190.074
Tamil Nadu,2028,1221.975
Tamil Nadu,2029,1017.4661
Tamil Nadu,2030,1147.3439
Telangana,2018,1184.4011
Telangana,2019,1071.6942
Telangana,2020,1113.3724
Telangana,2021,1206.0254
Telangana,2022,1186.3794
Telangana,2023,1027.1193
Telangana,2024,1138.3541
Telangana,2025,1191.3905
Telangana,2026,1204.358
Telangana,2027,895.77625
Telangana,2028,1074.6625
Telangana,2029,1155.9081
Telangana,2030,1160.575
Uttarakhand,2018,1220.84
Uttarakhand,2019,1054.9869
Uttarakhand,2020,916.8324
Uttarakhand,2021,1176.6283
Uttarakhand,2022,1273.9758
Uttarakhand,2023,1097.0916
Uttarakhand,2024,885.16644
Uttarakhand,2025,1134.624
Uttarakhand,2026,1182.2107
Uttarakhand,2027,1156.1233
Uttarakhand,2028,1092.0447
Uttarakhand,2029,1180.6107
Uttarakhand,2030,1231.7479
Vidarbha,2018,1175.3977
Vidarbha,2019,1194.9998
Vidarbha,2020,1056.3059
Vidarbha,2021,1118.121
Vidarbha,2022,1212.8499
Vidarbha,2023,1225.7686
Vidarbha,2024,899.4542
Vidarbha,2025,1069.0173
Vidarbha,2026,1177.2806
Vidarbha,2027,1141.5374
Vidarbha,2028,1114.5563
Vidarbha,2029,1191.2617
Vidarbha,2030,1207.0952
West Madhya Pradesh,2018,1328.4006
West Madhya Pradesh,2019,1174.8491
West Madhya Pradesh,2020,1080.7994
West Madhya Pradesh,2021,913.16113
West Madhya Pradesh,2022,1224.7323
West Madhya Pradesh,2023,1225.3918
West Madhya Pradesh,2024,1099.2382
West Madhya Pradesh,2025,902.203
West Madhya Pradesh,2026,1222.8491
West Madhya Pradesh,2027,1186.1184
West Madhya Pradesh,2028,1083.9034
West Madhya Pradesh,2029,1074.2457
West Madhya Pradesh,2030,1190.2926
West Rajasthan,2018,530.2644
West Rajasthan,2019,602.11743
West Rajasthan,2020,627.93823
West Rajasthan,2021,701.85547
West Rajasthan,2022,726.0338
West Rajasthan,2023,856.95306
West Rajasthan,2024,726.0077
West Rajasthan,2025,898.61786
West Rajasthan,2026,841.22046
West Rajasthan,2027,892.7076
West Rajasthan,2028,898.7781
West Rajasthan,2029,910.6376
West Rajasthan,2030,944.5069
West Uttar Pradesh,2018,779.7939
West Uttar Pradesh,2019,759.3847
West Uttar Pradesh,2020,912.3113
West Uttar Pradesh,2021,796.7542
West Uttar Pradesh,2022,875.342
West Uttar Pradesh,2023,891.83484
West Uttar Pradesh,2024,820.9141
West Uttar Pradesh,2025,996.8045
West Uttar Pradesh,2026,900.2732
West Uttar Pradesh,2027,938.27637
West Uttar Pradesh,2028,978.491
West Uttar Pradesh,2029,973.4766
West Uttar Pradesh,2030,967.89404
